PERIODO;NOMBRE;GÉNERO;AÑO DE NACIMIENTO;CODIGO DANE;DEPARTAMENTO DE NACIMIENTO;CIUDAD DE NACIMIENTO;PARTIDO;NÚMERO DE VOTOS;COMISIÓN CONSTITUCIONAL;COMISIÓN LEGAL;CORREO ELECTRÓNICO;TWITTER;FACEBOOK;PAGINA WEB;TELEFONO;EXT
2018-2022;Tamayo Tamayo Soledad;Femenino;20 de Marzo de 1958;15;Boyacá;Palermo;Conservador;59,149;Primera;ND;soledad.tamayo@senado.gov.co;ND;ND;ND;57(1) - 382300;0
2018-2022;Torres Victoria Pablo Catatumbo;Masculino;19 de Marzo de 1953;76;Valle del Cauca;Cali;Comunes;ND;Quinta;ND;pablo.catatumbo@senado.gov.co;@PCatatumbo_FARC;facebook.com/PCatatumboFARC;ND;57(1) - 382300;3,089
2018-2022;Trujillo González Carlos Andrés;Masculino;30 de Junio de 1976;5;Antioquia;Itaguí;Conservador;86,721;Sexta;ND;carlos.trujillo@senado.gov.co;ND;ND;ND;57(1) - 382300;0
2018-2022;Valencia González Santiago;Masculino;6 de Junio de 1983;11;Distrito Capital;Bogotá;Centro Democrático;35,351;Primera;Comisión de Ëtica y Estatuto del Congresista;santiago.valencia@senado.gov.co;@sanvalgo;facebook.com/santiago.valencia.g;http://www.santiagovalencia.com.co;57(1) - 382300;3,744
2018-2022;Valencia Laserna Paloma Susana;Femenino;19 de Enero de 1978;19;Cauca;Popayán;Centro Democrático;29,319;Primera;Comisión de Derechos Humanos;paloma.valencia@senado.gov.co;@PalomaValenciaL;facebook.com/palomavalencial/;http://palomavalencia.com/;57(1) - 382300;3,692
2018-2022;Valencia Medina Feliciano;Masculino;9 de Junio de 1965;19;Cauca;Santander de Quilichao;Movimiento Alternativo Indigena Social;72,591;Segunda;ND;feliciano.valencia@senado.gov.co;@FelicianoValen;facebook.com/FelicianoValenciaSenador;http://www.felicianovalencia.com;57(1) - 382300;3,682
2018-2022;Varón Cotrino Germán;Masculino;6 de Julio de 1964;11;Distrito Capital;Bogotá;Cambio Radical;64,457;Primera;ND;german.varon@senado.gov.co;@GermanVaronCo;facebook.com/germanvaron.senador.3;http://www.germanvaronc.com/;57(1) - 382300;3,235
2018-2022;Velasco Chaves Luis Fernando;Masculino;18 de Octubre de 1964;19;Cauca;Popayán;Liberal;74,265;Primera;ND;velascoprensa@gmail.com;@velascoluisf;facebook.com/luisfernando.velascochaves;http://www.luisfernandovelasco.com.co;57(1) - 382300;3,333
2018-2022;Velasco Ocampo Gabriel Jaime;Masculino;4 de Abril de 1973;76;Valle del Cauca;Tulua;Centro Democrático;33,18;Séptima;ND;gabriel.velasco@senado.gov.co;@gabrieljvelasco;facebook.com/gabrieljvelasco09/;https://www.para-bolas.com/;57(1) - 382300;3,39
2018-2022;Villalba Mosquera Rodrigo;Masculino;2 de Septiembre de 1951;41;Huila;Rivera;Liberal;62,674;Tercera;ND;rodrigo.villalba@senado.gov.co;@rovillalba;facebook.com/RodrigoVillalbaMosquera/;https://www.para-bolas.com/;57(1) - 382300;3,225
2018-2022;Zabaraín Guevara Antonio Luis;Masculino;31 de Diciembre de 1962;47;Magdalena;Cienaga;Cambio Radical;74,786;Sexta;ND;antonio.zabarain@senado.gov.co;@zabaraing;facebook.com/tzabarain/;ND;57(1) - 382300;3,438
2018-2022;Zambrano Erazo Berner Leon;Masculino;15 de Mayo de 1958;52;Nariño;Taminango;Partido de la U;71,087;Segunda;Comisión Asesora de Relaciones Exteriores;berner.zambrano@senado.gov.co;@BernerZambrano;facebook.com/berner.zambrano.50;http://www.bernerzambrano.com;57(1) - 382300;3,623
2018-2022;Zuñiga Iriarte Israel Alberto;Masculino;ND;8;Atlantico;Barranquilla;Comunes;ND;Cuarta;ND;israel.zuniga@senado.gov.co;ND;ND;ND;57(1) - 382300;5,136
